emp_no,first_name,last_name,title,from_date,salary
62205,Vitaly,Brlek,Staff,1990-03-02,40000
55669,Shounak,Saoudi,Senior Engineer,1990-03-03,46585
96299,Cullen,Perko,Senior Staff,1990-03-04,40000
19114,Jayson,Pietracaprina,Staff,1990-03-05,71920
206014,Premsyl,Walstra,Staff,1990-03-06,54123
18771,Domenick,Haraldson,Senior Staff,1990-03-07,51637
34354,Kristen,Acton,Senior Staff,1990-03-08,52117
28386,Snehasis,Spelt,Engineer,1990-03-09,60977
41674,Abdelghani,Yemenis,Senior Engineer,1990-03-10,40000
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,40000
16134,Annemarie,Chaudhuri,Engineer,1990-03-12,40000
15788,Taegyun,Deyuan,Engineer,1990-03-13,53521
45924,Vidar,Hettesheimer,Senior Engineer,1990-03-14,40000
40910,Tamiya,Chimia,Staff,1990-03-15,40000
12803,Gad,Boissier,Senior Staff,1990-03-16,91789
10777,Mizuhito,Kemmerer,Engineer,1990-03-17,40000
61399,Unal,Chinen,Senior Staff,1990-03-18,65671
201821,Arne,Eterovic,Senior Engineer,1990-03-19,40000
35916,Wonhee,Talmon,Senior Engineer,1990-03-20,40000
20043,Chikara,Adachi,Senior Engineer,1990-03-21,53571
15248,Edwin,Baar,Staff,1990-03-22,64696
20708,Aemilian,Arlazarov,Staff,1990-03-23,63353
67682,Moni,Ozeri,Staff,1990-03-24,47969
60463,Sanjiv,Dredge,Engineer,1990-03-25,53616
82998,Mary,Linares,Senior Staff,1990-03-26,83031
21396,Shaw,Manderick,Senior Engineer,1990-03-27,59553
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,69873
24224,Vasilis,Kinley,Engineer,1990-03-29,49619
22337,Leszek,Picci,Senior Staff,1990-03-30,40000
24888,Murthy,Felder,Senior Staff,1990-03-31,90268
20221,Shietung,Munoz,Senior Engineer,1990-04-01,40000
32903,Maja,Terlouw,Assistant Engineer,1990-04-02,52832
78710,Theirry,Benantar,Senior Engineer,1990-04-03,40000
33522,Gift,Barinka,Senior Staff,1990-04-04,40000
13934,Shiv,Bratsberg,Senior Engineer,1990-04-05,46507
11320,Atilio,McAlpine,Staff,1990-04-06,45118
248462,Filipe,Gecsei,Engineer,1990-04-07,55603
70320,Aruna,Beerel,Engineer,1990-04-08,41958
51481,Satoru,Wilfing,Staff,1990-04-09,75376
75133,Tayeb,Spataro,Staff,1990-04-10,56805
20068,Masali,Rouquie,Senior Engineer,1990-04-11,40000
74511,Shietung,Schicker,Engineer,1990-04-12,40000
53171,Uta,Werthner,Senior Engineer,1990-04-13,51514
23172,Kazuhide,Birjandi,Staff,1990-04-14,44565
21643,Yuuichi,Maksimenko,Engineer,1990-04-15,40210
25546,Charmane,Engelmann,Engineer,1990-04-16,40000
25210,Arumugam,Kumaresan,Engineer,1990-04-17,40000
18943,Anneli,Rando,Senior Staff,1990-04-18,54916
46768,Shimshon,Narahari,Staff,1990-04-19,40000
41682,Alselm,Ecklund,Staff,1990-04-20,88875
54950,Yuriy,Anick,Senior Engineer,1990-04-21,51468
68756,Jayesh,Syang,Staff,1990-04-22,40000
12103,Becky,Erie,Staff,1990-04-23,56188
14839,Changho,Cronin,Engineer,1990-04-24,40000
29597,Yoshinari,Codenie,Senior Engineer,1990-04-25,40000
19758,Rildo,Birdsall,Senior Engineer,1990-04-26,40000
16365,Janalee,Mellouli,Senior Staff,1990-04-27,40000
36660,Uli,Potthoff,Senior Staff,1990-04-28,40000
15480,Kwok,Trogemann,Engineer,1990-04-29,47645
81500,Aran,Katzenelson,Staff,1990-04-30,40000
21897,Sampalli,Kavanagh,Staff,1990-05-01,85262
42930,Izaskun,Berztiss,Engineer,1990-05-02,46579
24183,Muneo,Rousseau,Senior Staff,1990-05-03,48461
22886,Gudjon,Templeman,Engineer,1990-05-04,40000
21636,Munir,Erde,Senior Staff,1990-05-05,48121
19113,Persi,Bahr,Staff,1990-05-06,99390
40325,Vincent,Gist,Senior Staff,1990-05-07,40000
91118,Stein,Dichev,Staff,1990-05-08,53165
10936,Mountaz,Schicker,Staff,1990-05-09,40000
13405,Randy,Baba,Senior Staff,1990-05-10,60799
11139,Bogdan,Homond,Staff,1990-05-11,63596
91127,Phuoc,Baar,Staff,1990-05-12,64893
12069,Ayonca,Burnard,Engineer,1990-05-13,51928
38995,Lijia,Gecsei,Senior Engineer,1990-05-14,40000
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,66622
53436,Filipe,Mitsuhashi,Senior Engineer,1990-05-16,40000
102395,Kitty,Massonet,Staff,1990-05-17,40000
28981,Dipayan,Bernardinello,Senior Staff,1990-05-18,40000
66989,Dzung,Camarinopoulos,Engineer,1990-05-19,69687
25632,Arunachalam,Ramamoorthy,Engineer,1990-05-20,56685
37318,Alejandro,Isard,Staff,1990-05-21,57930
73497,Sibyl,Huhdanpaa,Staff,1990-05-22,68016
61453,Hyuncheol,Vanwelkenhuysen,Engineer,1990-05-23,40000
16397,Shimshon,Cusworth,Senior Staff,1990-05-24,66757
12341,Rasiah,Luga,Senior Engineer,1990-05-25,40000
56380,Shuzo,Atchley,Senior Engineer,1990-05-26,52819
48641,Toney,Murtagh,Staff,1990-05-27,79616
36754,Fumiko,Negoita,Engineer,1990-05-28,40000
29822,Prodip,Sifakis,Staff,1990-05-29,95987
68951,Shichao,Leppanen,Engineer,1990-05-30,73533
37977,Nahid,Scallan,Senior Staff,1990-05-31,44920
58837,Bowen,Waleschkowski,Senior Engineer,1990-06-01,40000
20171,Kazuhira,Murtha,Engineer,1990-06-02,57586
88358,Trygve,Salinas,Engineer,1990-06-03,63202
30454,Pradeep,Plessier,Engineer,1990-06-04,40000
37680,Shalesh,McDermid,Staff,1990-06-05,49160
98549,Prodip,Landherr,Staff,1990-06-06,54864
61666,Tesuro,Vasanthakumar,Engineer,1990-06-07,40000
23640,Leucio,Mamelak,Senior Engineer,1990-06-08,48632
28529,Mabo,Griswold,Senior Engineer,1990-06-09,45642
24728,Margo,Trumbly,Senior Engineer,1990-06-10,53750
12879,Baruch,Eugenio,Engineer,1990-06-11,40000
38602,Rafael,Showalter,Staff,1990-06-12,40438
17478,Tuval,Merle,Senior Staff,1990-06-13,40000
103668,Remmert,Mitchem,Senior Engineer,1990-06-14,40000
58727,Junichi,Rullman,Senior Engineer,1990-06-15,54576
41610,Serge,Staudhammer,Engineer,1990-06-16,40000
47088,Oddvar,Melski,Staff,1990-06-17,56583
22520,Mokhtar,Ranka,Engineer,1990-06-18,45814
50916,Yuping,Kossowski,Assistant Engineer,1990-06-19,59064
19746,Shiv,Zeidenstein,Staff,1990-06-20,41247
77346,Shir,Walston,Staff,1990-06-21,54017
34630,Xiaoshan,Whittlesey,Staff,1990-06-22,63282
36620,Arno,Itzigehl,Staff,1990-06-23,87944
24844,Anwar,Jumpertz,Senior Staff,1990-06-24,45654
48376,Sreenivas,Wixon,Engineer,1990-06-25,50410
36230,Khatoun,Borovoy,Senior Staff,1990-06-26,40000
83783,Mayuri,Baranowski,Senior Staff,1990-06-27,41274
20538,Gro,Hebert,Staff,1990-06-28,61619
22812,Weiru,Kemmerer,Senior Staff,1990-06-29,53399
67705,Genevieve,Khalil,Staff,1990-06-30,67943
88246,Munenori,Slobodova,Staff,1990-07-01,40000
26272,Zorica,Marakhovsky,Engineer,1990-07-02,40000
423272,Khun,Molenaar,Assistant Engineer,1990-07-03,64489
10768,Ishfaq,Candan,Senior Engineer,1990-07-04,65717
38921,Weiru,Papsdorf,Senior Staff,1990-07-05,40000
48314,Mang,Chiodo,Senior Engineer,1990-07-06,51404
50274,Horward,Boudaillier,Staff,1990-07-07,97022
29513,Genki,Cusworth,Senior Engineer,1990-07-08,43835
40592,Yucai,Gniady,Senior Staff,1990-07-09,40000
66019,Surveyors,Rosis,Technique Leader,1990-07-10,56619
71220,Nadjib,Peek,Engineer,1990-07-11,57703
91583,Dinkar,Kroft,Senior Staff,1990-07-12,66424
77838,Shuzo,Piazza,Engineer,1990-07-13,52927
37166,Xiaobin,Pfau,Engineer,1990-07-14,46858
56262,Dharmaraja,Androutsos,Senior Staff,1990-07-15,52809
37608,Kasturi,Linnainmaa,Senior Engineer,1990-07-16,42490
45376,Mabo,Toyoshima,Senior Staff,1990-07-17,55568
67653,Mabo,Rathonyi,Assistant Engineer,1990-07-18,49386
211841,Zongyan,Arlazarov,Senior Engineer,1990-07-19,50642
16806,Sreekrishna,Dayana,Senior Staff,1990-07-20,72405
79010,Marsal,Pusterhofer,Assistant Engineer,1990-07-21,42814
214909,Aksel,Serov,Senior Engineer,1990-07-22,60969
105357,Martien,Billawala,Senior Engineer,1990-07-23,40000
36780,Annemarie,Schnabel,Senior Engineer,1990-07-24,40000
37948,Jayson,Zykh,Staff,1990-07-25,56561
43013,Mechthild,Petersohn,Senior Staff,1990-07-26,49759
90519,Syozo,Rodite,Staff,1990-07-27,64927
239094,Hatim,Montresor,Engineer,1990-07-28,52357
25761,Hugo,Lundstrom,Senior Staff,1990-07-29,55770
29361,LiMin,McDermid,Assistant Engineer,1990-07-30,40000
17487,Gully,Staudhammer,Assistant Engineer,1990-07-31,40000
16019,Chaoyi,Heystek,Senior Engineer,1990-08-01,40000
22554,Rosine,Koprowski,Staff,1990-08-02,48595
59414,Yuping,Kolvik,Senior Staff,1990-08-03,94867
26856,Kazuhiko,Cooke,Senior Engineer,1990-08-04,50395
19543,Chaitali,Perl,Senior Engineer,1990-08-05,55814
10990,Shin,Foote,Technique Leader,1990-08-06,40000
17586,Lein,Halevi,Staff,1990-08-07,40000
18068,Geoff,Lorie,Senior Engineer,1990-08-08,66242
26752,Deniz,Zockler,Senior Engineer,1990-08-09,40000
67529,Alejandro,Passino,Engineer,1990-08-10,45779
62383,Khatoun,Rodier,Technique Leader,1990-08-11,56311
28528,Sariel,Veccia,Staff,1990-08-12,42429
10432,Hisao,Tiemann,Staff,1990-08-13,40000
30748,Katsuyuki,Uchoa,Staff,1990-08-14,67498
242717,Mori,Nanard,Senior Engineer,1990-08-15,41670
236555,Adamantios,Luga,Staff,1990-08-16,61592
52092,Fai,Ozeri,Senior Staff,1990-08-17,40000
88213,Zvonko,Varman,Technique Leader,1990-08-18,60462
64575,Pradeep,Sridhar,Senior Staff,1990-08-19,70816
25495,Stein,Lakshmanan,Engineer,1990-08-20,58845
93017,Gian,Terkki,Senior Engineer,1990-08-21,40000
88340,Gad,Fiutem,Staff,1990-08-22,93555
35681,Luise,Roisin,Senior Engineer,1990-08-23,71140
407398,Uwe,Azuma,Senior Staff,1990-08-24,53557
210571,Hirochika,Peot,Staff,1990-08-25,63757
73689,Mansur,Goldhammer,Senior Staff,1990-08-26,50994
225349,Panayotis,Mahmud,Engineer,1990-08-27,56987
14354,Mong,Bojadziev,Senior Staff,1990-08-28,40000
27978,Sedat,Unni,Senior Engineer,1990-08-29,48155
254091,Alejandra,Jiang,Staff,1990-08-30,40000
42929,Sven,Hegner,Assistant Engineer,1990-08-31,40000
52933,Gurbir,Uludag,Senior Staff,1990-09-01,57801
34143,Gay,Beilner,Senior Engineer,1990-09-02,67335
35327,Babette,Panwar,Senior Engineer,1990-09-03,40000
30149,Leon,Bugaenko,Assistant Engineer,1990-09-04,45494
81509,Munehiko,Trachtenberg,Engineer,1990-09-05,40000
12863,Leif,Matheson,Senior Engineer,1990-09-06,62803
213126,Maia,Kolvik,Staff,1990-09-07,62165
34121,Cordelia,Falco,Staff,1990-09-08,50950
87393,Ashish,Erdi,Assistant Engineer,1990-09-09,40000
66867,Behnaam,Biron,Staff,1990-09-10,45197
47876,Shigeaki,Orlowska,Senior Staff,1990-09-11,65338
34333,Jaihie,Luef,Staff,1990-09-12,65893
272241,Zorica,Litzkow,Senior Engineer,1990-09-13,53734
36603,Heon,Unno,Engineer,1990-09-14,40000
204157,Danel,Gomatam,Staff,1990-09-15,69648
94170,Bader,Yoshimura,Staff,1990-09-16,40000
85202,Guttorm,Erdi,Senior Engineer,1990-09-17,52839
69649,Candida,Salverda,Staff,1990-09-18,40944
34769,Erzsebet,Hebert,Senior Engineer,1990-09-19,40000
48838,Gay,Meszaros,Senior Staff,1990-09-20,65816
24072,Tianruo,Piveteau,Engineer,1990-09-21,42591
27955,Saeko,Hartvigsen,Staff,1990-09-22,40000
15623,Vishu,Falby,Senior Engineer,1990-09-23,52506
40841,Masako,Lindqvist,Staff,1990-09-24,40000
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,42907
10749,King,Brendel,Senior Engineer,1990-09-26,60829
56364,Zdislav,Bakhtari,Senior Staff,1990-09-27,67809
20751,Nitsan,Zyda,Staff,1990-09-28,49983
92244,Vojin,Gadepally,Staff,1990-09-29,72348
36916,Aleksandar,Danlos,Senior Staff,1990-09-30,57107
201104,Taegyun,Sadowski,Senior Engineer,1990-10-01,44530
21363,Katsuyuki,Theuretzbacher,Senior Engineer,1990-10-02,52656
15518,Uno,Valtorta,Engineer,1990-10-03,55563
36009,Pranjal,Gonthier,Senior Engineer,1990-10-04,41986
70956,Almudena,Genther,Engineer,1990-10-05,50155
19335,Susanta,Khalid,Senior Staff,1990-10-06,40000
218275,Mayuri,Furudate,Senior Engineer,1990-10-07,40000
67779,Niclas,Welham,Senior Staff,1990-10-08,70776
33255,Alejandra,Straney,Technique Leader,1990-10-09,46539
471782,Alexius,Strehl,Senior Engineer,1990-10-10,40000
50517,Weidon,Snedden,Senior Staff,1990-10-11,94684
87366,Aria,Rubsam,Senior Staff,1990-10-12,73278
70752,Vugranam,Chiola,Engineer,1990-10-13,49152
94201,Mana,Fabrizio,Senior Engineer,1990-10-14,57010
44874,Janche,Cools,Senior Staff,1990-10-15,40000
16203,Mori,Kulisch,Engineer,1990-10-16,40000
22429,Franziska,Terekhov,Senior Engineer,1990-10-17,41561
24250,Hatem,Badache,Engineer,1990-10-18,40000
52695,Sahrah,Borstler,Senior Engineer,1990-10-19,40000
14422,Toshimo,Gadepally,Senior Engineer,1990-10-20,59001
39132,Uta,Massonet,Staff,1990-10-21,43652
25145,Serge,Ashish,Engineer,1990-10-22,40000
16099,Mohan,Ferretti,Senior Staff,1990-10-23,40000
41888,Vitali,Oehlmann,Staff,1990-10-24,60903
106678,Vishwani,Oppitz,Senior Staff,1990-10-25,42908
267198,Przemyslawa,Casperson,Staff,1990-10-26,69880
38840,Leaf,Lunn,Senior Engineer,1990-10-27,61551
18756,Premal,Narahari,Engineer,1990-10-28,58164
34962,Adly,Rosay,Engineer,1990-10-29,40000
11705,Arve,Hofmeyr,Senior Staff,1990-10-30,79701
33563,Sastry,Akazan,Senior Staff,1990-10-31,40000
17185,Danai,Wilfing,Senior Staff,1990-11-01,75574
12637,Poorav,Karner,Staff,1990-11-02,44370
11988,Chinya,Chinin,Senior Engineer,1990-11-03,57652
68786,Marit,Vasanthakumar,Staff,1990-11-04,61916
218634,Mori,Zobel,Staff,1990-11-05,66453
21321,Laurentiu,Raney,Engineer,1990-11-06,58022
55329,Heekeun,Slobodova,Staff,1990-11-07,40000
77786,Munehiro,Vieth,Staff,1990-11-08,86004
39409,Zhilian,Leslie,Engineer,1990-11-09,41548
23455,Aemilian,Sethi,Staff,1990-11-10,44109
69897,Stamatina,Kamber,Senior Staff,1990-11-11,69176
72598,Bogdan,Vural,Senior Engineer,1990-11-12,45158
58516,Xianlong,Knightly,Staff,1990-11-13,70580
214606,Youngkon,Erni,Senior Engineer,1990-11-14,53372
46026,Leon,Schrooten,Engineer,1990-11-15,40000
71990,Supot,Thiran,Senior Staff,1990-11-16,50900
209320,Candida,Piancastelli,Senior Staff,1990-11-17,49620
32193,Margareta,Szmurlo,Senior Staff,1990-11-18,76023
21560,Kyoichi,Dechter,Senior Staff,1990-11-19,66010
219604,Mari,Borstler,Senior Engineer,1990-11-20,46178
17683,Bernt,Henders,Staff,1990-11-21,54891
90771,Divier,Luon,Senior Engineer,1990-11-22,40000
54164,Sahrah,Penz,Senior Staff,1990-11-23,92968
57004,Guther,Peris,Assistant Engineer,1990-11-24,61693
33244,Genki,Hitomi,Staff,1990-11-25,45095
57064,Arco,Serov,Senior Engineer,1990-11-26,40000
70386,Guiseppe,Mamelak,Senior Engineer,1990-11-27,69504
18679,Roded,Lambe,Staff,1990-11-28,80953
17078,Gill,Hinsberger,Senior Staff,1990-11-29,44442
214858,Yongdong,Kushner,Senior Engineer,1990-11-30,40000
90589,Bluma,Reinhard,Senior Engineer,1990-12-01,40000
23220,Christoper,Back,Senior Engineer,1990-12-02,40000
22536,Sukumar,Andreotta,Senior Engineer,1990-12-03,40000
70061,Masaki,Erez,Assistant Engineer,1990-12-04,40000
37850,Bikash,Underwood,Engineer,1990-12-05,40000
20828,Brewster,Sewelson,Senior Staff,1990-12-06,76056
102225,Stella,Peral,Senior Staff,1990-12-07,65031
19791,Kankanahalli,Azulay,Engineer,1990-12-08,45827
17472,Murthy,Verhoeff,Staff,1990-12-09,40000
404722,Atreyi,Papsdorf,Engineer,1990-12-10,44318
63542,Michaela,Hanratty,Engineer,1990-12-11,49445
39237,Sugwoo,Fabrizio,Engineer,1990-12-12,40000
37619,Xuedong,DuCasse,Staff,1990-12-13,63840
225033,Naraig,Camurati,Engineer,1990-12-14,40000
43093,Basem,Schapire,Senior Staff,1990-12-15,40000
54298,Taizo,Orsini,Assistant Engineer,1990-12-16,50797
49382,Bikash,Kalefeld,Senior Staff,1990-12-17,40000
21053,Selwyn,Jakobus,Staff,1990-12-18,89731
16869,Yakkov,Huttel,Staff,1990-12-19,40000
59380,Zvonko,Berendt,Staff,1990-12-20,89720
14909,Mohan,Kamble,Engineer,1990-12-21,40000
103415,Heng,Cronin,Staff,1990-12-22,60614
23441,Sarita,Staudhammer,Engineer,1990-12-23,43192
247206,Jordanka,Ishibashi,Senior Staff,1990-12-24,70886
209278,Sverrir,Lanzelotte,Engineer,1990-12-25,40000
13443,Mayuko,Puppo,Engineer,1990-12-26,40000
17539,Cathie,Uhrik,Engineer,1990-12-27,60576
13951,Mooi,Genther,Senior Staff,1990-12-28,82054
16988,Xiong,Peron,Senior Staff,1990-12-29,47878
201583,Boutros,Woycyznski,Staff,1990-12-30,40000
43078,Radhia,Wuwongse,Staff,1990-12-31,77051
34996,Chinhyun,Butner,Engineer,1991-01-01,59347
41754,Rosita,Hanabata,Engineer,1991-01-02,59888
33472,Hsiangchu,Chvatal,Engineer,1991-01-03,51543
17220,Lorien,Panwar,Engineer,1991-01-04,45404
26102,Mechthild,Eldridge,Engineer,1991-01-05,62902
78397,Sham,Kulisch,Engineer,1991-01-06,40000
67686,Lucien,Junet,Staff,1991-01-07,64939
10693,Berhard,Daescu,Senior Staff,1991-01-08,40000
17154,Aria,Milicia,Staff,1991-01-09,40000
36355,Aleksandar,Alblas,Engineer,1991-01-10,56593
30103,Murthy,Gini,Staff,1991-01-11,81159
13809,Kiyotoshi,Basagni,Senior Staff,1991-01-12,43735
11931,Gunilla,Chiodo,Staff,1991-01-13,73369
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,46581
81940,Ioana,Siksek,Senior Engineer,1991-01-15,46693
61292,Badri,Boguraev,Engineer,1991-01-16,53842
13653,Kristen,Iivonen,Staff,1991-01-17,53242
13457,Shooichi,Parfitt,Senior Engineer,1991-01-18,40812
35363,Odoardo,England,Staff,1991-01-19,61245
31557,Denny,Kalafatis,Senior Staff,1991-01-20,45801
23460,Masato,Steinauer,Assistant Engineer,1991-01-21,62890
69874,Doohun,Menyhert,Technique Leader,1991-01-22,48291
61989,Yaghout,Vesna,Senior Staff,1991-01-23,65856
23278,Hein,Morrey,Senior Engineer,1991-01-24,50229
258097,Sorina,Thombley,Senior Staff,1991-01-25,40000
21110,Shaowei,Solares,Senior Staff,1991-01-26,88140
16052,Maria,Rodham,Engineer,1991-01-27,40000
48604,Martins,Potthoff,Engineer,1991-01-28,40000
88936,Hironobu,Belinskaya,Staff,1991-01-29,76884
105581,Rasikan,Hanabata,Senior Engineer,1991-01-30,40000
61441,Yongqiao,Jayawardene,Senior Staff,1991-01-31,51463
104894,Phule,Schaft,Senior Staff,1991-02-01,54118
16716,Ramachenga,Zumaque,Assistant Engineer,1991-02-02,54270
23872,Cedric,Ranst,Senior Engineer,1991-02-03,60200
30331,Lene,Vuskovic,Engineer,1991-02-04,53126
15762,Kien,Impagliazzo,Staff,1991-02-05,56568
22783,Takahiro,Beerel,Senior Staff,1991-02-06,83582
31674,Jixiang,Bernini,Staff,1991-02-07,47707
96200,Udaiprakash,Sudkamp,Staff,1991-02-08,63876
239806,Byong,Kadhim,Senior Staff,1991-02-09,89284
39979,Serenella,Cardazo,Senior Staff,1991-02-10,62086
28997,Persi,Ramsay,Senior Staff,1991-02-11,66934
17778,Chirstian,Matzov,Staff,1991-02-12,40000
46055,Charlene,Fabrizio,Senior Engineer,1991-02-13,40000
22234,Arno,Narwekar,Senior Engineer,1991-02-14,56671
22722,Chenye,Pietrzykowski,Staff,1991-02-15,40000
19975,Mabry,Geffroy,Engineer,1991-02-16,40000
92508,Alassane,Baaz,Senior Staff,1991-02-17,40000
33857,Hidefumi,Gulla,Technique Leader,1991-02-18,47471
14515,Kazuhisa,Versino,Engineer,1991-02-19,61645
30466,Sumant,Giaccio,Staff,1991-02-20,78285
48591,Kamran,Rahier,Engineer,1991-02-21,45831
12608,Nectarios,Mondadori,Staff,1991-02-22,40000
43649,Idoia,Petersohn,Senior Staff,1991-02-23,63987
12775,Mariangiola,Berendt,Assistant Engineer,1991-02-24,69805
21458,Yechiam,Kitai,Senior Engineer,1991-02-25,40000
16832,Mads,Binkley,Senior Engineer,1991-02-26,51405
15454,Hongzue,Cesareni,Senior Staff,1991-02-27,57571
39873,Kankanahalli,Joslin,Engineer,1991-02-28,40000
17293,Demin,Alpin,Senior Engineer,1991-03-01,40000
52981,Howell,Hutton,Engineer,1991-03-02,42119
17815,Shuji,Wissmann,Assistant Engineer,1991-03-03,40000
90978,Ramya,Ouhyoung,Senior Staff,1991-03-04,55276
48071,Rafail,Dulay,Senior Staff,1991-03-05,78792
20757,Ingemar,Taubman,Senior Engineer,1991-03-06,40000
23592,Marek,Templeman,Staff,1991-03-07,68278
203836,Bartek,Bazelow,Senior Staff,1991-03-08,40000
13276,Yechiam,Seuren,Senior Staff,1991-03-09,65836
18701,Mori,Ratnakar,Staff,1991-03-10,58282
43887,Kwan,Giveon,Staff,1991-03-11,40000
12218,Yaghout,Strooper,Engineer,1991-03-12,40000
228320,Wonhee,Murrill,Staff,1991-03-13,60533
21704,Xiaobin,Chorvat,Assistant Engineer,1991-03-14,40000
19777,Halsur,Ferretti,Staff,1991-03-15,63089
53273,Moon,Fraisse,Engineer,1991-03-16,53161
20013,Jaewoo,Lanphier,Senior Engineer,1991-03-17,40000
258522,Nathan,Kroha,Engineer,1991-03-18,40000
13698,Domenico,Mitchem,Engineer,1991-03-19,57541
26256,Faiza,Michaels,Senior Staff,1991-03-20,61641
19661,Sangeeta,Speckmann,Staff,1991-03-21,40000
71064,Kokou,Genther,Staff,1991-03-22,84332
32656,Boriana,Lemarechal,Senior Staff,1991-03-23,50919
233594,Xiahua,Yamaashi,Senior Staff,1991-03-24,80687
13853,Mingsen,Roohalamini,Senior Staff,1991-03-25,61615
15324,Ziya,Lunn,Assistant Engineer,1991-03-26,40000
11051,Przemyslawa,Erol,Engineer,1991-03-27,40000
20060,Chrisa,Attimonelli,Senior Engineer,1991-03-28,40000
34158,Mohammed,Syrotiuk,Staff,1991-03-29,60792
56488,Tze,Cherinka,Staff,1991-03-30,64424
15955,Yuguang,Dratva,Senior Engineer,1991-03-31,45283
50441,Mahmut,Braunschweig,Senior Staff,1991-04-01,46991
99313,Masasuke,Caine,Senior Staff,1991-04-02,40000
57273,Gal,Baaleh,Staff,1991-04-03,40000
252680,Martina,Sewelson,Engineer,1991-04-04,40000
22530,Tetsurou,Bazelow,Senior Staff,1991-04-05,80189
27273,Alassane,Jeong,Technique Leader,1991-04-06,40000
39276,Alejandro,Busillo,Senior Staff,1991-04-07,46595
80722,Yechiam,Bage,Senior Staff,1991-04-08,70299
16438,Abdulla,Demeyer,Engineer,1991-04-09,52449
17089,Rafail,Erman,Senior Staff,1991-04-10,67779
37311,Lihong,Eickenmeyer,Senior Staff,1991-04-11,42339
45006,Vishv,Liedekerke,Senior Engineer,1991-04-12,45963
37164,Fuqing,Coney,Engineer,1991-04-13,46579
49675,Uri,Tchuente,Staff,1991-04-14,80001
53146,Guenter,Rosay,Senior Engineer,1991-04-15,61045
16272,Shuho,Zeleznik,Engineer,1991-04-16,40000
42642,Bluma,Broder,Staff,1991-04-17,102424
39868,Adas,Tomescu,Senior Engineer,1991-04-18,42251
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,53345
62793,Beshir,Klerer,Senior Engineer,1991-04-20,46484
13842,Juichirou,Cichocki,Staff,1991-04-21,40000
73143,Sreekrishna,Cincotta,Assistant Engineer,1991-04-22,40000
10912,Oscal,Fasbender,Senior Staff,1991-04-23,45665
24077,Kerhong,Zedlitz,Staff,1991-04-24,73732
13415,Nathalie,Speer,Technique Leader,1991-04-25,61838
23521,Goh,Pappas,Senior Staff,1991-04-26,40000
15029,Giordano,Koshino,Staff,1991-04-27,40000
213426,Demin,Lenart,Senior Staff,1991-04-28,82945
27843,Bedir,Speek,Senior Engineer,1991-04-29,45565
91517,Serif,Hofstetter,Staff,1991-04-30,81869
60469,Angel,Kampfer,Senior Staff,1991-05-01,85944
18402,Bernice,Ritzmann,Senior Staff,1991-05-02,45396
37777,Gaurav,Vidal,Senior Engineer,1991-05-03,58844
23536,Nagui,Vural,Engineer,1991-05-04,40000
240313,Sandeepan,Krupka,Senior Engineer,1991-05-05,48287
11050,Elvis,Katiyar,Senior Staff,1991-05-06,52251
11027,Remzi,Cappello,Engineer,1991-05-07,40000
28676,Falguni,Bamford,Senior Staff,1991-05-08,40000
51269,Sangeeta,Schmittgen,Engineer,1991-05-09,55277
70610,Djelloul,Bellmore,Staff,1991-05-10,75945
59016,Terresa,Kornyak,Senior Engineer,1991-05-11,74095
79703,Remco,Einsfeld,Engineer,1991-05-12,49181
28344,Fan,Barriga,Senior Staff,1991-05-13,72407
16234,Jacopo,Basart,Senior Staff,1991-05-14,40000
38884,Arne,Dratva,Staff,1991-05-15,41253
41759,Charmane,Lagarias,Senior Staff,1991-05-16,80164
10258,Basil,Ishibashi,Engineer,1991-05-17,66280
31132,Barna,Ghalwash,Staff,1991-05-18,61007
66351,Shir,Bierbaum,Senior Engineer,1991-05-19,49817
35867,Sumant,Henseler,Engineer,1991-05-20,53655
90778,Leucio,Kaiserswerth,Engineer,1991-05-21,40000
244847,Tetsushi,Maierhofer,Staff,1991-05-22,96074
61038,Suzette,Sifakis,Senior Engineer,1991-05-23,56297
51121,Debaprosad,Bierbaum,Staff,1991-05-24,40745
51838,Akemi,Woycyznski,Senior Staff,1991-05-25,40000
19637,Dipayan,Papastamatiou,Senior Engineer,1991-05-26,45831
53217,Shem,Heystek,Senior Engineer,1991-05-27,43200
95943,Guozhong,Luit,Senior Staff,1991-05-28,63618
18806,Akhilish,Petereit,Senior Staff,1991-05-29,59955
42402,Gererd,Rosis,Senior Engineer,1991-05-30,42261
61259,Shao,Puoti,Senior Staff,1991-05-31,46409
23822,Faiza,Rosar,Senior Engineer,1991-06-01,57773
13315,Sakthirel,Stroustrup,Engineer,1991-06-02,40000
31286,Marsha,Magliocco,Senior Engineer,1991-06-03,48847
36178,Bernt,Valette,Staff,1991-06-04,89600
64726,Dulce,Hambrick,Engineer,1991-06-05,40000
29659,Adel,Pokrovskii,Senior Staff,1991-06-06,45464
19501,Kokou,Baranowski,Staff,1991-06-07,72030
69360,Lenore,Hanratty,Senior Engineer,1991-06-08,45273
10161,Hairong,Mellouli,Engineer,1991-06-09,43149
